id,avtor
Artemis_(Olympian)_(Earth-616),Jack Kirby

Arthrosians,Jack Kirby

Arthur_Parks_(Earth-616),Art Simek

Arthur_Parks_(Earth-616),Don Heck

Arthur_Stacy_(Earth-616),John Romita

Artificial_Being_(Earth-616),Jack Kirby

Artur_Zarrko_(Earth-6297),Jack Kirby

Asgardians,Larry Lieber

Asgardians,Jack Kirby

Asgardians,Werner Roth

Asgardian_Dragons,Jack Kirby

Asgard_(City),Larry Lieber

Asgard_(City),Jack Kirby

Asgard_(Realm),Larry Lieber

Asgard_(Realm),Jack Kirby

Ashley_Hunt_(Earth-616),Jack Kirby

Aske_(Earth-616),Jack Kirby

Asteroid_M,Jack Kirby

Astral_Plane,Steve Ditko

Astra_(Planet),Steve Ditko

Athena_Parthenos_(Earth-616),Jack Kirby

Atlanta,Al Hartley

Atlantis_(Byrrah),Jack Kirby

Atlantis_(Empire),Plato

Atlantis_(Empire),Jack Kirby

Atlantis_(Modern),Vic Carrabotta

Atmo-Web,Jack Kirby

Atmo_Gun,Jack Kirby

Atom_Igniter,Jack Kirby

Attilan,Jack Kirby

Attuma_(Earth-616),Jack Kirby

Aunt_Edith_(Earth-616),Al Hartley

Aunt_May%27s_House,Steve Ditko

Aunt_May_(Earth-616),Steve Ditko

Avengers_(Earth-616),Jack Kirby

Avengers_(Earth-70813),Kevin Maguire

Avengers_(Earth-77013),Larry Lieber

Avengers_Mansion,Jack Kirby

Awesome_Android_(Earth-616),Jack Kirby

Axonn-Karr_(Earth-616),Don Heck

B._J._Kosmojian_(Earth-616),Robert Bernstein

B._J._Kosmojian_(Earth-616),Joe Sinnott

Ba-Korr_(Earth-616),Steve Ditko

Baby_Face_Barker_(Earth-616),Al Hartley

Badoon,John Buscema

Balder_Odinson_(Earth-616),Larry Lieber

Balder_Odinson_(Earth-616),Jack Kirby

Baldy_Kolak_(Earth-616),Jerry Siegel

Baldy_Kolak_(Earth-616),Dick Ayers

Baltag_(Earth-6311),Don Heck

Baluurians,Jack Kirby

Barney_Bushkin_(Earth-616),Steve Ditko

Baron_Mordo%27s_Minions_(Earth-616),Steve Ditko

Baron_Radzik_(Earth-616),Larry Lieber

Baron_Zemo%27s_Sword,Jack Kirby

Bart_Dietzel_(Earth-616),Gene Colan

Basallo_(Earth-616),Jack Kirby

Bast_(Earth-616),Jack Kirby

Batroc%27s_Brigade_(Earth-616),Jack Kirby

Bavaria,Steve Ditko

Bavarian_Alps,Steve Ditko

Baxter_Bigelow_(Earth-616),Steve Ditko

Baxter_Building,Jack Kirby

Baxu_(Earth-616),Robert Bernstein

Baxu_(Earth-616),Jack Kirby

Beak_(Nazi)_(Earth-616),Harry Sahle

Beasts_of_Berlin_(Earth-616),Dick Ayres

Beast_(Mysterio%27s_Robots)_(Earth-616),Steve Ditko

Beatles_(Earth-616),Bob Powell

Beetle_Armor_MK_I,Carl Burgos

Behemoth_(Atlantean_Beast)_(Earth-616),Adam Austin

Behemoth_(Atlantean_Beast)_(Earth-616),Bill Everett

Belle_Thorne_(Earth-616),Jack Kirby

Benjamin_Grimm_(Earth-1102),Dale Eaglesham

Benjamin_Grimm_(Earth-616),Jack Kirby

Benjamin_Grimm_(Earth-71016),John Romita Jr.

Benjamin_Grimm_(Earth-77013),Larry Lieber

Benjamin_Grimm_(Earth-8466),Jack Kirby

"Benjamin_Grimm_(Skrull,_Cow)_(Earth-616)",Jack Kirby

Benjamin_Parker_(Earth-616),Steve Ditko

Benjamin_Parker_(Earth-77013),John Romita

Benjamin_Tucker_(Earth-616),Jim Mooney

Benjamin_Tucker_(Earth-616),David Oliphant

Bennett_Brant_(Earth-616),Steve Ditko

Bennington_Brown_(Earth-616),Jack Keller

Bentley_Wittman_(Android)_(Earth-616),Jack Kirby

Bentley_Wittman_(Earth-616),Larry Lieber

Bentley_Wittman_(Earth-616),Jack Kirby

Ben_Bart_(Earth-616),Jack Kirby

Ben_Bragg_(Earth-616),Jack Kirby

Ben_Carson_(Earth-616),Jack Kirby

Ben_Carter_(Earth-616),Larry Lieber

