id,avtor
Dorian_Murdstone_(Earth-616),Robert Bernstein

Dorian_Murdstone_(Earth-616),Jack Kirby

Doris_Evans_(Earth-616),Jerry Siegel

Doris_Evans_(Earth-616),Dick Ayers

Doris_Raxton_(Earth-616),Steve Ditko

Dormammu_(Earth-616),Steve Ditko

Dorrek_VII_(Earth-616),Jack Kirby

Doug_Lewis_(Earth-616),John Romita

Dragonklaw_(Earth-928),Paul Ryan

Dragon_Man_(Earth-616),Jack Kirby

Dragoom_(Earth-616),Jack Kirby

Dreamstalker_(Earth-616),Steve Ditko

Drearcliff_Cemetery,Jim Steranko

Drom_(Asgardian)_(Earth-616),Jack Kirby

Droom_(Earth-616),Don Heck

Droom_(Earth-616),Jack Kirby

Druffs,Jack Kirby

Duke_Shores_(Earth-616),Al Avison

Durok_(Earth-616),John Buscema

Dwarves_of_Nidavellir,Jack Kirby

Earth_Orbit,Jack Kirby

Ebenezer_Laughton_(Earth-616),Don Heck

Ebony_(Earth-616),Jack Kirby

Ebony_Blade,Joe Maneely

Ecce_(Earth-616),Jack Kirby

